Temperature,AverageEnergyPerSite,EnergyErrorPerSite,SpecificHeatPerSite
0.5,-1.9972465178571428,0.0027534821428741867,0.3521405226102843
0.6,-1.9999871428571432,2.750976600189746e-06,0.00028568489764463974
0.7,-1.9999073214285714,8.308048848193576e-06,0.0015222017451002772
0.8,-1.999612232142857,8.095020674233351e-06,0.004897352001753673
0.9,-1.998848214285714,2.4227053434919338e-05,0.011530983875079275
1.0,-1.9971171428571426,2.6962366838950032e-05,0.02374096176333751
1.1,-1.9939621428571428,2.549942387758594e-05,0.04161662785632355
1.2,-1.9885441071428571,6.754818818591695e-05,0.06757744131375729
1.3,-1.9803121428571429,0.00015113452745795997,0.10088418849899204
1.4,-1.9681399107142854,0.00016323918643624047,0.14335081999977392
1.5,-1.9509747321428572,0.00015528067500471121,0.1974133240614593
1.6,-1.9280583928571426,0.0002492198714736047,0.2641943924354572
1.7,-1.8981850892857144,0.0002001622027050153,0.34225930955988704
1.8,-1.8592013392857145,0.00032427558961185723,0.4430173165430255
1.9,-1.809505178571429,0.0008980029482377247,0.5628833362874952
2.0,-1.7456894642857144,0.0006649782715708335,0.7142209227954055
2.1,-1.666103482142857,0.0015090696837996708,0.883440174362414
2.2,-1.5671414285714285,0.000908920426417231,1.0624987839163513
2.3,-1.4587436607142856,0.001134837169991814,1.1593388652983203
2.4,-1.3375783035714284,0.0008138522140997989,1.1827598153053294
2.5,-1.2199010714285714,0.0013460573816078628,1.0994823180682465
2.6,-1.116940357142857,0.0011574750255714922,0.9566201159413105
2.7,-1.0305411607142856,0.0011300584065029114,0.809142267313277
2.8,-0.9575399107142857,0.0009875938531805366,0.6809429953789435
2.9,-0.8928452678571429,0.0008229826961548992,0.5658914607434654
3.0,-0.8409898214285716,0.0006360068840223039,0.48495907735850197
