Temperature,AverageEnergyPerSite,EnergyErrorPerSite,SpecificHeatPerSite
0.5,-2.0,0.0,0.0
0.6,-1.99999375,2.1650315494161765e-06,0.00013888194432512237
0.7,-1.9999099999999999,9.013921670325983e-06,0.0014683297960072178
0.8,-1.9996585416666666,2.2656670454131864e-05,0.004304746870742448
0.9,-1.9988639583333334,2.5539316613822976e-05,0.011405229050056833
1.0,-1.9971654166666666,4.323556962715404e-05,0.023335768788911082
1.1,-1.9940127083333332,4.4542427312784266e-05,0.04135668016303031
1.2,-1.9886077083333333,3.122151375331192e-05,0.06716872976658314
1.3,-1.9801452083333333,0.00021175646065649064,0.10130545396287936
1.4,-1.9680402083333333,0.00018351115903401618,0.1439690934679842
1.5,-1.9509716666666668,4.512761498234931e-05,0.1979895890172606
1.6,-1.92859,0.0002642419872592493,0.2604612610416667
1.7,-1.8985852083333334,0.0008458771281144682,0.339794139099377
1.8,-1.8596256249999998,0.0009119544601844718,0.43912080143262366
1.9,-1.8096097916666665,0.0007528966923202984,0.5601840873122625
2.0,-1.7442741666666668,0.0008820112943042357,0.7209575206555456
2.1,-1.6644616666666667,0.001852368779533029,0.8942485380095683
2.2,-1.5682014583333332,0.0021150738245456734,1.062704974352049
2.3,-1.4521539583333334,0.0008090807325536756,1.1766189482666487
2.4,-1.3410729166666666,0.0006720929233518947,1.1801295705536305
2.5,-1.2228170833333334,0.0011492468283741434,1.1014674184515547
2.6,-1.1181822916666666,0.002103888832735656,0.9602200749404203
2.7,-1.03044125,0.0005113158322629831,0.811760375733883
2.8,-0.9572825000000001,0.0006398615368503449,0.6812381512414943
2.9,-0.893246875,0.0017531837482841828,0.5679859848642491
3.0,-0.84231,0.0011292583180792203,0.4870856247703704
