Temperature,AverageEnergyPerSite,EnergyErrorPerSite,SpecificHeatPerSite,Correlation_r1,Correlation_r2,Correlation_r3,Correlation_r4,Correlation_r5,Correlation_r6,Correlation_r7,Correlation_r8
0.5,-1.7306704616031547,6.062627704209516e-05,0.5959441697691545,0.8653352308015774,0.811265203022492,0.782515969870287,0.7647206345288825,0.7530798813355628,0.7456771962968634,0.741502469791734,0.740155772124554
0.6,-1.6691943800065765,9.155249022587451e-05,0.6348867267048617,0.8345971900032882,0.769475158256982,0.7351860728785063,0.7141079603824617,0.7003811449655555,0.6915835624241052,0.6866336870411268,0.6850300687839538
0.7,-1.6032326305075248,0.00012019993020903834,0.6949976015991469,0.8016163152537624,0.7252726897808336,0.6857044604788475,0.6616370165558396,0.646073596661113,0.6361728271193046,0.6306491359118663,0.6288901965890648
0.8,-1.5291734360524183,0.00017776326623698133,0.7936187624256518,0.7645867180262091,0.6755354937926517,0.6301723372588217,0.6027660433132535,0.585175436871174,0.5740069461848684,0.5677783657011475,0.5657703413767892
0.9,-1.4434779966202496,0.00035883851544786575,0.947746393773494,0.7217389983101248,0.6172815048843493,0.5648009578427988,0.5334963347370267,0.5135560777952163,0.5009362583909142,0.49387218697771473,0.4915852488150695
1.0,-1.3351851472471765,0.00046432864832975557,1.2260568562274443,0.6675925736235883,0.5403068322133008,0.47594238289957785,0.4377592835380959,0.41364070410914944,0.3985172252936197,0.3901474563231618,0.3874815797583891
1.1,-1.1992693009372546,0.0011094899795560341,1.4787130634334602,0.5996346504686273,0.4400248469765829,0.35767445559025357,0.30840674223716535,0.2771263177809287,0.257513438267772,0.24674252705716315,0.24329461620282422
1.2,-1.057008661466963,0.000917575344306348,1.2911727339603059,0.5285043307334815,0.33727469568242363,0.23890436648348504,0.18092962753594558,0.144937571852412,0.12276849954610213,0.11063884521610143,0.10683142220638549
1.3,-0.9420021127225013,0.0006317349481742537,1.0061841975184425,0.47100105636125067,0.26302088233233056,0.16221403559923409,0.10659786344119923,0.07420942761767749,0.0553564242841989,0.045518474969762766,0.04255519862414079
1.4,-0.8523118218533736,0.00047961483155738155,0.8074345880781578,0.4261559109266868,0.21248102873977295,0.11638492384310008,0.0676103848970752,0.0413536241487229,0.027097853203845522,0.020033591870377274,0.01799759884803818
1.5,-0.7792407411232454,0.00044208904523400865,0.6680838189662508,0.3896203705616227,0.17569335494503144,0.08659145499851978,0.045187214560199904,0.024827142090112466,0.01459386747765474,0.009738152866909064,0.008192514440566907
1.6,-0.7177588807927333,0.0003534643336803942,0.5703179600345497,0.35887944039636666,0.14740138368411493,0.06624185084170661,0.03149748526249829,0.015534139237252132,0.008153468568025233,0.00484533318702614,0.003968618277686099
1.7,-0.665181425012003,0.0003096965352625721,0.483559725177992,0.3325907125060015,0.12517473708225435,0.05134430275597987,0.022272132062860626,0.009972005770725085,0.00452914745237407,0.0022181488744065525,0.0014378938641474933
