Temperature,AverageEnergyPerSite,EnergyErrorPerSite,SpecificHeatPerSite,Correlation_r1,Correlation_r2,Correlation_r3,Correlation_r4,Correlation_r5,Correlation_r6,Correlation_r7,Correlation_r8,Correlation_r9,Correlation_r10,Correlation_r11,Correlation_r12,Correlation_r13,Correlation_r14,Correlation_r15,Correlation_r16
0.5,-1.729773775310172,4.41624488584282e-05,0.598708414059729,0.864886887655086,0.809693089266224,0.779183589979022,0.7589716774520032,0.7441894249300814,0.7327805922671768,0.7236929562013722,0.7163297162599667,0.7103526838112172,0.7055082521494362,0.701631277998965,0.6986044633103963,0.6963314265394301,0.6947348922633897,0.6937985620642292,0.6934923086291995
0.6,-1.6681756984851634,3.389686242860378e-05,0.6358019545245952,0.8340878492425817,0.7677713090520226,0.7315839301661997,0.7078140122321654,0.6905309729438688,0.6772655748171009,0.6667727632691228,0.6583304183713075,0.6514794926585592,0.6459482024431049,0.6415126436824712,0.6380356829222533,0.6354097755139322,0.6335795987903279,0.6324974092027669,0.6321373800826945
0.7,-1.6002300631119089,0.0013777481276400097,0.7613706547090261,0.8001150315559544,0.7208776995986391,0.6771422174223547,0.6475577728004609,0.6251541919765657,0.6070623289061937,0.5919171605592025,0.579031339485811,0.5680356699853845,0.5586729006298726,0.5508337077310054,0.5444257254613445,0.5394531412645328,0.5358845795789084,0.5337469505726918,0.5330324554568128
0.8,-1.5275032941474753,9.113598427198881e-05,0.798495731841342,0.7637516470737377,0.6730055183190783,0.6250852385544732,0.5942931624338328,0.5722451739462079,0.5555083967006325,0.5423613458185793,0.5318355078727397,0.5233365676726538,0.5164621083748234,0.5109742684859838,0.5066629086131705,0.5034337913137894,0.5011884156978951,0.49986292485737294,0.49942351586823885
0.9,-1.4399689108114069,0.00023018065963735263,0.9750203909182649,0.7199844554057034,0.6130116355771051,0.5572701256665766,0.522000558786211,0.49714959472171716,0.47848947997912583,0.46395728746662135,0.4524000313464215,0.4431366116876261,0.43569934721765935,0.4297184392634621,0.4250988779061268,0.4216810378080282,0.4193168390116391,0.4179447144163852,0.41748370110939637
1.0,-1.3266960330295408,0.0005014603677189254,1.312563752285996,0.6633480165147704,0.5307362972940635,0.4602981179921837,0.41524928051521226,0.3832113037354767,0.3590488702928674,0.34021508913864607,0.3252311486531669,0.31320735915280773,0.30358659302908686,0.2959605541950389,0.28999885714839163,0.2855450667718468,0.28245870254007605,0.2806473699265895,0.2800409283680135
1.1,-1.1795861619300347,0.0005115349546153474,1.4614254235734618,0.5897930809650174,0.41927923316154647,0.325581456314391,0.26462496099576854,0.2211383669963312,0.1885217135941787,0.16332267184162869,0.14348036904762762,0.12783349709827538,0.11543328886143177,0.10576852446230979,0.09838350852185683,0.09292696935123752,0.08918764171062554,0.08702508410633192,0.08629234872037338
1.2,-1.0467905993026239,0.0003556144198344471,1.1829320227031797,0.5233952996513119,0.326923007095556,0.22342354139919768,0.16007251142193238,0.1179224762677423,0.08849728957737153,0.06734211685867461,0.051823519085321235,0.040419300205869445,0.03195060104794035,0.025666997431536456,0.021042621779912923,0.01779076629455019,0.015660464285599644,0.014438113244310378,0.014020268808470277
1.3,-0.940268146632246,0.00025832191710947706,0.9630181802895256,0.470134073316123,0.26127786428687744,0.159184241421102,0.10200140555987652,0.06729066565635823,0.0452895058705456,0.030885360684411035,0.021312205718040364,0.014783833187876442,0.010286270558974957,0.0072505190421077075,0.005166754205308939,0.0036781952312435525,0.002727923753994883,0.0021484362142655533,0.0019584141507867285
1.4,-0.8520528661080231,0.0002179825085538722,0.7979794515373628,0.42602643305401156,0.2120167436155214,0.11546705102148867,0.06615028874606622,0.038938411517087365,0.023288384663231423,0.014023598473184136,0.008450034590642395,0.005212439614017242,0.0032556622729694243,0.002029435577232488,0.0013248118097360423,0.0008751934926877487,0.000494502297327076,0.0002433286587348976,0.00017106324608275953
1.5,-0.7790832923743303,0.0002605506514567678,0.6655558272245798,0.38954164618716514,0.17529886117365756,0.08618540584000095,0.044600029989103035,0.023750566576246062,0.012876167554102383,0.007022191024074414,0.0038927642385969572,0.002134278357735619,0.0011610671814956239,0.0006683056680715713,0.00033454891942977477,8.701134624577855e-05,-9.266809812411047e-06,-8.471860007367952e-05,-0.00011353321049804526
1.6,-0.7175363239414662,0.0002227590355854082,0.5644963982559313,0.3587681619707331,0.14716283612945058,0.06581505123423251,0.03113887738167457,0.015398956480091975,0.00791639044467554,0.004227573657309628,0.002346949904433898,0.001285090373733652,0.0007179162317406608,0.000302154463683712,0.00013277125419183144,0.00020104888969306822,0.0002564074983379658,0.00017817081308211163,0.00010452325247954313
1.7,-0.6654331508096639,0.00017389383551163495,0.4846541548222479,0.33271657540483196,0.12533221221741705,0.05139633270163053,0.022222955708287476,0.009973120039979338,0.004633917724640942,0.0022086176883797156,0.001018616379682371,0.0004172722365004551,0.00018821351725129172,5.4774020781630676e-05,-4.9618519758451974e-05,-0.00011197416745102326,-0.00010364878841829328,-4.3522858841177186e-05,-1.3809544775290135e-06
1.8,-0.6207018409888694,0.00010899162930373041,0.4148526226730256,0.3103509204944347,0.1078890075849377,0.040570343721737984,0.016056581516843516,0.006550294286907468,0.002790183424198291,0.0012377620085637694,0.0005066168197503641,0.00022462243373583716,6.901827434029894e-05,2.255411044529235e-05,3.077458622072959e-05,2.2797177205841447e-05,-4.886933138046153e-05,-8.708184967244859e-05,-0.000122844307659176
1.9,-0.5815071825805237,7.905384909543112e-05,0.363682971950674,0.29075359129026185,0.09395072879856947,0.032721306943589976,0.012037221447145006,0.0046788517143211165,0.001978207042693239,0.0008778380488795341,0.00033754390181455873,0.00011929140579056225,3.0385804297408244e-05,1.0812059171586946e-05,3.560856798365815e-05,-1.2929562957114384e-05,-0.0001016217605767722,-8.511925255506907e-05,-5.6528252640691365e-05
2.0,-0.5475201634478495,0.00014525961719646422,0.3208649770193972,0.27376008172392474,0.08260822284629711,0.02679107070757945,0.00911209663180405,0.0031522236123147024,0.0010161786633309333,0.0003132902663480949,0.00014664585168112617,0.00011696178980832376,1.5733586609398172e-05,-1.6834286445616855e-05,-3.901487635438888e-05,8.516860180591878e-08,-8.360461350064533e-05,-0.00011382448666678559,8.285038846721949e-06
