Temperature,AverageEnergyPerSite,EnergyErrorPerSite,SpecificHeatPerSite
0.5,-1.999999027777778,5.423592816338955e-07,3.111086914486805e-05
0.6,-1.9999877083333333,1.948793321901146e-06,0.00027543610343627734
0.7,-1.9999114583333335,4.039719640323926e-06,0.0014496563206806488
0.8,-1.9996418055555556,8.111263378500542e-06,0.004530572451777458
0.9,-1.9988400694444444,1.608572241145174e-05,0.011714338435913978
1.0,-1.9971920138888892,2.0715752177795442e-05,0.023118429251496764
1.1,-1.9939885416666665,3.9939868411558035e-05,0.041502499942610044
1.2,-1.9885589583333332,6.176626670760503e-05,0.06732103223578731
1.3,-1.9800527777777777,0.0001093449421848158,0.10245393790637265
1.4,-1.9681879166666667,0.00012287327044089056,0.14322210997163998
1.5,-1.9509543055555554,0.0001139335958897623,0.19821819443569033
1.6,-1.9285847916666665,0.0003082381081858579,0.2613333975162723
1.7,-1.8978571527777777,0.0002611466252454379,0.34503331897465134
1.8,-1.8590449305555556,0.0003064274825945575,0.4402243997667023
1.9,-1.8098,0.0006986118272161884,0.5627234829178144
2.0,-1.7457397916666666,0.00045098723457918433,0.7118317627770878
2.1,-1.6658865277777777,0.0007043405859352572,0.8828572966353183
2.2,-1.5667478472222223,0.0007939594957614249,1.0619188254667282
2.3,-1.4548268055555555,0.0017401271089019417,1.1754289922730958
2.4,-1.3360366666666668,0.0018261956402424065,1.1891905977160426
2.5,-1.223481388888889,0.001285087016986275,1.0980644558309132
2.6,-1.1173342361111112,0.0006354335788061427,0.9596543305861892
2.7,-1.0300274305555557,0.0011166740488861647,0.8127331057246927
2.8,-0.9572710416666668,0.0006172554375162896,0.6784926658868321
2.9,-0.893282986111111,0.001031012592520408,0.5691974418452111
3.0,-0.8408669444444444,0.0007636685635592318,0.4835520652175581
