Temperature,AverageEnergyPerSite,EnergyErrorPerSite,SpecificHeatPerSite
0.5,-1.9999992857142856,2.5254315012717925e-07,2.285701225446246e-05
0.6,-1.999987232142857,1.1511717347559558e-06,0.0002837011779080159
0.7,-1.9999158928571426,4.818896802188679e-06,0.0013831868347797727
0.8,-1.999628392857143,8.400776849558307e-06,0.004688199741709197
0.9,-1.9988764285714282,1.3584865900876675e-05,0.011303252043394479
1.0,-1.9972040178571429,3.3857919314002295e-05,0.023055393252604972
1.1,-1.9939851785714287,2.7266146468922917e-05,0.04145775933715194
1.2,-1.9885689285714288,5.1644754470930964e-05,0.06722198526640552
1.3,-1.9802891071428572,5.851054131905178e-05,0.10116068088277225
1.4,-1.968116160714286,8.792173759509069e-05,0.1439486162533428
1.5,-1.951233571428571,0.00013771183507787637,0.19710300184676222
1.6,-1.9283836160714285,0.0001940749908669029,0.2618757623739975
1.7,-1.8976727678571432,0.00016889697363360774,0.3448274161031621
1.8,-1.8595247767857146,0.000272403447685271,0.43929422729175227
1.9,-1.810560982142857,0.00025547699609027665,0.5557220266706792
2.0,-1.7457687946428575,0.0006283693774716162,0.7153969879195969
2.1,-1.6657119642857143,0.0007056840027724541,0.8864807616414416
2.2,-1.566963973214286,0.0004612036452226521,1.0603560781737669
2.3,-1.4544129464285713,0.0012006177214534065,1.17417784512317
2.4,-1.3388745089285714,0.0010816293087896097,1.1810329453098234
2.5,-1.2214527678571427,0.0012527454494813402,1.104278854412985
2.6,-1.1196613392857142,0.0008905495024362701,0.9652763930345841
2.7,-1.0321505357142857,0.0006651103258811881,0.8101951633915595
2.8,-0.9569002232142857,0.0009129505360940795,0.6791617727765625
2.9,-0.893671205357143,0.0005505994698405085,0.5684495026082736
3.0,-0.8409744642857142,0.0006916555754246695,0.48314914742653214
