Temperature,AverageEnergyPerSite,EnergyErrorPerSite,SpecificHeatPerSite
0.5,-1.9999989423076923,5.07296458797133e-07,3.384586761967512e-05
0.6,-1.9999863461538459,1.439678910268781e-06,0.00030338566100833003
0.7,-1.9999161538461538,4.028672531648427e-06,0.0013727081463865926
0.8,-1.999646153846154,5.9469076300397095e-06,0.00446584467441724
0.9,-1.998854375,1.383858653702698e-05,0.01148058272312825
1.0,-1.997129903846154,1.6678255165970386e-05,0.023645110768569566
1.1,-1.9939677884615383,3.1882353303440456e-05,0.04162145815200801
1.2,-1.9885838942307692,8.630828093749899e-05,0.0671287416764304
1.3,-1.980260240384615,5.3898709859884515e-05,0.10081051218722184
1.4,-1.9678417788461537,7.710273063814243e-05,0.14509433719651363
1.5,-1.9510500961538464,0.00011710057290305312,0.19788463425610794
1.6,-1.9282283653846157,0.0001335981291683499,0.26263457363510095
1.7,-1.8981455769230773,0.00022155600096505573,0.34244564407032096
1.8,-1.859560096153846,0.00025293227118495235,0.4401395772837718
1.9,-1.809684326923077,0.0004542122647275687,0.5601239908720049
2.0,-1.745564519230769,0.00043818006429237506,0.7135012818578588
2.1,-1.6660398076923075,0.0008875221827924221,0.8877115967481164
2.2,-1.5678168749999999,0.0007055203181634731,1.0558430953444877
2.3,-1.4565921634615386,0.0008167425803278907,1.1662923453963263
2.4,-1.3365752884615385,0.000914583272959333,1.1842378681080525
2.5,-1.2239008173076924,0.0008870287108089581,1.102239031082388
2.6,-1.1184675000000002,0.0009950894959528962,0.9632058557259889
2.7,-1.0296464423076923,0.000707417203277795,0.8085767183440883
2.8,-0.9551229807692307,0.0009597391361708909,0.6784640523607502
2.9,-0.8942108173076921,0.0005603549305467643,0.5698795694013018
3.0,-0.8416648557692308,0.0004626124102832771,0.4836574154562617
