Temperature,AverageEnergyPerSite,EnergyErrorPerSite,SpecificHeatPerSite
0.5,-1.9999997727272727,2.2735871222925964e-07,7.272714242390066e-06
0.6,-1.999988977272727,1.2015733145104123e-06,0.00024492789489411533
0.7,-1.9999049431818179,5.328335208371028e-06,0.0015549422632064457
0.8,-1.9996164204545457,1.3826768120643098e-05,0.004833653150404515
0.9,-1.9988465909090907,1.982673273296153e-05,0.011615424446561372
1.0,-1.9971751704545455,1.99370609506656e-05,0.02325907436178909
1.1,-1.9939143181818182,5.394668315166985e-05,0.04193403393485331
1.2,-1.9885285795454544,5.752717441021884e-05,0.06779897001136545
1.3,-1.9802386363636364,7.275888444214097e-05,0.10073076434054813
1.4,-1.9681700568181817,0.00015548262622403557,0.14335126256022931
1.5,-1.9511214772727272,8.422133617593048e-05,0.19732713419249295
1.6,-1.9277742613636364,0.00017490713471178364,0.2647049412505708
1.7,-1.8980758522727272,0.0001773275263031964,0.34167131328998557
1.8,-1.8592471590909092,0.0002926856607714879,0.43925984832542725
1.9,-1.809941590909091,0.0003375961494950448,0.5605465121686659
2.0,-1.7455280681818182,0.0005942864589443789,0.710837074667559
2.1,-1.6647300568181818,0.0006267245665285054,0.8947731271902336
2.2,-1.5693963068181818,0.0008282690160151872,1.0526984584973236
2.3,-1.45607125,0.0011868065858253178,1.168457664652007
2.4,-1.3360584090909091,0.0007660771826052385,1.1854112367143055
2.5,-1.223283693181818,0.0009395336671617226,1.0976721413934274
2.6,-1.1172546590909092,0.0013258294717211647,0.9600241638611914
2.7,-1.0307007954545455,0.0012110631924079865,0.8088549402114292
2.8,-0.9562685227272727,0.0004505078831861193,0.678967657217808
2.9,-0.8939806818181818,0.0003907533012395872,0.5685218629042551
3.0,-0.8415417045454546,0.000745361875809534,0.4832744635914597
