Temperature,AverageEnergyPerSite,EnergyErrorPerSite,SpecificHeatPerSite
0.5,-1.999999375,6.24783494866986e-07,1.999989990508766e-05
0.6,-1.9999868749999998,3.1250545297342777e-06,0.00029163604177521546
0.7,-1.99990375,4.999955797734559e-06,0.001570218571417599
0.8,-1.9996465625000002,1.281248597529476e-05,0.004462117568282408
0.9,-1.9988899999999998,3.6875012157320345e-05,0.011143389629686692
1.0,-1.9971190625,4.281250130519153e-05,0.023695062743769313
1.1,-1.994000625,6.874976565979106e-06,0.04151775204546493
1.2,-1.9886137499999998,1.87517955502741e-06,0.06696882770835799
1.3,-1.9804481250000001,1.1874982084928346e-05,0.10022446613903174
1.4,-1.967990625,9.499999691823267e-05,0.144511782844371
1.5,-1.9514903125,1.9687496276658843e-05,0.1947264906638869
1.6,-1.927993125,0.00031937500027448535,0.26344946756835513
1.7,-1.8983721875000001,0.0001684374993110474,0.3395088804476493
1.8,-1.8593821875,0.0015334374999525931,0.44068306225115156
1.9,-1.8097621875,0.00018906249916456373,0.5706340804691797
2.0,-1.7466818750000002,4.499999692733369e-05,0.7045213407437458
2.1,-1.664355625,0.00021374999955855594,0.8963418653004509
2.2,-1.5687753125000001,0.0007203124996199394,1.052957842767293
2.3,-1.4559059375,0.001434687499956598,1.17770074172849
2.4,-1.3390215625000002,0.0006203124997455871,1.182072322958979
2.5,-1.2230568750000002,0.005457499999959543,1.1052736564759948
2.6,-1.1140690625,0.0009678124998965101,0.9538530598733369
2.7,-1.030475625,0.0003062500000266714,0.8041699755795613
2.8,-0.9548593750000001,0.001286249999967011,0.6695530911192596
2.9,-0.8934478125,0.0008346874999411413,0.5671793288577586
3.0,-0.8420771875,0.0005540624999798771,0.4866467676326383
