Temperature,AverageEnergyPerSite,EnergyErrorPerSite,SpecificHeatPerSite
0.5,-1.982555546875,0.010819105886192651,4.196422952992634
0.6,-1.999742333984375,0.00024319873284616082,0.04488866046680566
0.7,-1.9999155664062498,2.437075688274106e-06,0.0013862626901198162
0.8,-1.9996260839843751,4.059575172051359e-06,0.004710004900942976
0.9,-1.9988636621093752,8.922580073208638e-06,0.01140888182601289
1.0,-1.9971466503906252,1.2777333437132046e-05,0.023465866564947646
1.1,-1.9939641015624998,2.1518116055795744e-05,0.04151132445741488
1.2,-1.988579033203125,1.99492681259297e-05,0.06726495661339982
1.3,-1.9802630371093746,2.836749623970162e-05,0.10115807983826532
1.4,-1.9681015039062502,4.99454393291095e-05,0.14389277546980822
1.5,-1.9510472265624998,7.89294067017237e-05,0.19780835373603622
1.6,-1.9281008496093748,7.24279236000818e-05,0.2631316769055924
1.7,-1.8981690527343749,9.615889634560013e-05,0.34147801851484566
1.8,-1.85937587890625,0.0001221908042518645,0.4389950809574915
1.9,-1.8093892773437499,0.00017712463976933508,0.559554616777348
2.0,-1.74530728515625,0.00018059692523666134,0.7235007365407853
2.1,-1.6618612402343749,0.0004226431908310862,0.9642747328443813
2.2,-1.550748603515625,0.0007094417268347661,1.2883942045068475
2.3,-1.4064420605468753,0.000923047035353076,1.5407097209925182
2.4,-1.2543526074218747,0.0007210870970749525,1.4093653143571632
2.5,-1.1317165234375,0.0006974438693836896,1.0621882127969458
2.6,-1.039074697265625,0.00036648167629363984,0.7992634119880148
2.7,-0.9681121386718751,0.00033485003757104977,0.6356788652903377
2.8,-0.9100540722656251,0.00034747405088711127,0.5309564935353446
2.9,-0.860677265625,0.00027590706121332194,0.457419059237334
3.0,-0.8172934570312501,0.0002212642681174466,0.40296255392116287
