Temperature,AverageEnergyPerSite,EnergyErrorPerSite,SpecificHeatPerSite
0.5,-1.99999875,5.589646059924443e-07,3.999960006240144e-05
0.6,-1.9999870625,1.914063033124024e-06,0.0002895535770461619
0.7,-1.9999143125,5.468056173887117e-06,0.0013995512035785862
0.8,-1.9996239375000002,7.6103238562654685e-06,0.004762029574445491
0.9,-1.9988436875000002,2.0386762409973188e-05,0.01159589907366426
1.0,-1.9971704375000001,2.357722963323573e-05,0.02337633886770618
1.1,-1.9940317500000002,2.65450978735305e-05,0.041137040895806935
1.2,-1.98858375,6.210842596929832e-05,0.06703009104166806
1.3,-1.9801955625,8.286228549784256e-05,0.1014032203193689
1.4,-1.9681061250000003,0.00011984287997123548,0.14414717714233272
1.5,-1.951000625,0.00014136029987509593,0.19811307554444588
1.6,-1.92801325,0.00023771316821460535,0.26358832061094123
1.7,-1.898015375,0.0001797693160591898,0.34260889995535826
1.8,-1.8587786874999999,0.00029317134872554383,0.44411446522524306
1.9,-1.809332,0.000393885865071849,0.5615226264997324
2.0,-1.7461618125,0.0005885394059821235,0.712059480567433
2.1,-1.664060125,0.000617312427929082,0.897160005587071
2.2,-1.5684274374999998,0.0007452823876388716,1.0554433142602853
2.3,-1.4552238750000002,0.0011662766527967409,1.1775171667899746
2.4,-1.3369550000000001,0.0012309562678360143,1.183383939305559
2.5,-1.2214413124999999,0.0009491335204737422,1.1010746300111647
2.6,-1.11944725,0.0008872034676789863,0.9625486961414186
2.7,-1.0307364375,0.0005354917509666748,0.8120701125140924
2.8,-0.9542638124999998,0.0007392996078755793,0.6750843270140005
2.9,-0.892951,0.0007616832841365249,0.56834271609227
3.0,-0.8412788125,0.0003574540137481262,0.4844369629855281
