Temperature,AverageEnergyPerSite,EnergyErrorPerSite,SpecificHeatPerSite
0.5,-1.99293939453125,0.004362856444845019,3.474537704672912
0.6,-1.996944858398438,0.0022581216802137877,1.1095947991040904
0.7,-1.999910285644531,7.662732888883396e-07,0.001470365041499537
0.8,-1.998713564453125,0.0004678011325592705,0.2126338414960571
0.9,-1.9988579174804686,3.920729319018669e-06,0.011461344151209715
1.0,-1.9971596240234377,6.4692163277045115e-06,0.023366509747575037
1.1,-1.9939802612304687,6.881396466098097e-06,0.04156738624741524
1.2,-1.988586120605469,1.0744696831979201e-05,0.06722655501536995
1.3,-1.980253447265625,1.4317067933979267e-05,0.1010273396924174
1.4,-1.9680688696289064,2.3708464564997434e-05,0.14403368898280064
1.5,-1.9511237084960937,2.376354725446473e-05,0.1968590222616816
1.6,-1.9282911474609374,4.619889844221926e-05,0.26215669482496645
1.7,-1.8982233593749998,3.534398337097995e-05,0.34202469327264445
1.8,-1.859336030273437,6.894014391664818e-05,0.4385684400297319
1.9,-1.8095081274414062,8.148076027727612e-05,0.5623223657634062
2.0,-1.7454597387695312,8.377511401567318e-05,0.7269167220833879
2.1,-1.6617402783203126,0.00023009010252276327,0.9697141506380511
2.2,-1.547273681640625,0.0005281772702268492,1.3925537617706514
2.3,-1.375459482421875,0.0006330686177059544,1.9091405807574515
2.4,-1.2130332543945312,0.00040010836289378586,1.2856221124719822
2.5,-1.1068854370117187,0.0002623370581166659,0.881034727465194
2.6,-1.0286274291992188,0.00019184284471643348,0.7078846778806255
2.7,-0.963522607421875,0.00012390156087142872,0.5971354671528787
2.8,-0.9081472045898438,0.00016891127427535194,0.5171174193098056
2.9,-0.8598988378906249,0.00012998954426551184,0.451384547821608
3.0,-0.8174063012695313,0.00013911271440755714,0.4015644473173931
