Temperature,AverageEnergyPerSite,EnergyErrorPerSite,SpecificHeatPerSite,Correlation_r1,Correlation_r2,Correlation_r3,Correlation_r4,Correlation_r5,Correlation_r6,Correlation_r7,Correlation_r8,Correlation_r9,Correlation_r10,Correlation_r11,Correlation_r12,Correlation_r13,Correlation_r14,Correlation_r15,Correlation_r16,Correlation_r17,Correlation_r18,Correlation_r19,Correlation_r20,Correlation_r21,Correlation_r22,Correlation_r23,Correlation_r24,Correlation_r25,Correlation_r26,Correlation_r27,Correlation_r28,Correlation_r29,Correlation_r30,Correlation_r31,Correlation_r32
0.5,-1.7289334372296552,0.0003955840944033803,0.6565092411692603,0.8644667186148276,0.8084449864577093,0.7767483503038837,0.7550549158753023,0.7385179387531122,0.7251306700055093,0.713847187412308,0.7040888181290158,0.695421533345486,0.6876520331937259,0.6806338557637983,0.6742556023656976,0.6684421870016247,0.6631181558358449,0.6582247267306205,0.653694750946949,0.6495238769345381,0.6456833122693342,0.6421173353655494,0.6388194082584604,0.6357964696568064,0.6330277964875725,0.6305151063373345,0.6282675829535329,0.6262697853771036,0.62453681584541,0.6230594278180661,0.621845287967044,0.6209074783325675,0.6202324532466814,0.6198313046959004,0.6197051776466924
0.6,-1.6669006193766884,0.0006625848491300392,0.7512178694671295,0.8334503096883442,0.7659115785523294,0.7280654606032892,0.7022381968654887,0.6825914080066019,0.6666476462914721,0.6531218909750383,0.6413558647467742,0.6309144123817426,0.6215404357400662,0.6130137753194782,0.6052876547443102,0.5982110211275756,0.5917045761650939,0.5856981141789837,0.5801466458318404,0.5749999676154347,0.5702438768170959,0.5658962850866351,0.5619184429244723,0.5582803122358968,0.5549984760140607,0.5520894496002916,0.5495344963866465,0.5473072958399402,0.5454066543790297,0.5438030761245329,0.5425128715318543,0.5415035379092286,0.5407722318562885,0.5403529663658978,0.5402083967171675
0.7,-1.599376564069592,0.0010641460552836702,0.8519949635971287,0.799688282034796,0.7198790785178699,0.6755480133162803,0.6453847974493241,0.6223875992365229,0.6036867194361739,0.5878371405210476,0.5740255109548391,0.5617377052141653,0.5506384019695194,0.5405287739080443,0.5312867940491343,0.522755060673135,0.5148589958895493,0.5075337129545746,0.5007589566772593,0.4944989058118672,0.4886982371525917,0.48330621251887435,0.47834264579164815,0.47377230451065655,0.46962060991407795,0.46589028211020167,0.4625852318297737,0.4597239813370228,0.45731423656267706,0.45528063479303926,0.4535908422682158,0.4522905372016522,0.45133820831695515,0.450774388390466,0.45058418436647013
0.8,-1.5254983969498872,0.0009172270447309217,0.8883694822856112,0.7627491984749436,0.6705005211674905,0.620704723171989,0.5877191095762262,0.5632272655465986,0.5437802628313715,0.5276871336571742,0.5139550329308469,0.5020088430498931,0.49144339357653466,0.48199110730829225,0.4734411361204281,0.4656297268484233,0.45845735054269776,0.4519062161878085,0.44593279532957486,0.44043678071202613,0.43536288486222413,0.43073147281017815,0.4264746899434506,0.42258572806784456,0.4190537996593239,0.41584519755713273,0.412995775822606,0.41047542400229614,0.40832922630688956,0.4065423872254307,0.40509669648887814,0.40397879802893827,0.40318455049595064,0.4026736612199586,0.4025102092959443
0.9,-1.4359138393386597,0.0013029818642872743,1.1118177292128502,0.7179569196693298,0.6082117930256009,0.5491307208519535,0.5100268104259259,0.4809118429716912,0.45767616822227,0.43827611814776546,0.4216289491223856,0.40696283331398425,0.3938195433770796,0.3819138743319027,0.37110187668168,0.36119145592181834,0.3521485267134078,0.3437787803247212,0.33601744310917775,0.3289108001985881,0.3224075716129981,0.31646430626596966,0.31101897697244335,0.3060357035531146,0.30152251793057655,0.29744638484259983,0.29376670314025183,0.2905347597651242,0.2878221859209378,0.28554892949631216,0.28375207289629645,0.2823638100959678,0.28143369229174453,0.2808408233361936,0.28059726508046645
1.0,-1.3205593494579102,0.0013579798324274432,1.4482055640328326,0.6602796747289551,0.5242821648043937,0.45029485496256394,0.40147980050247645,0.3656847295824815,0.3377225898383207,0.3150100200737192,0.2961118606412433,0.28009362387880277,0.2662826854029755,0.25426155933987865,0.24376298444282013,0.23452166039858827,0.22636660406671655,0.21912310438139856,0.21273302815401646,0.2070928171957293,0.2019948418359533,0.19744804338839128,0.19343650109085475,0.18985547359918858,0.1866768042226039,0.18388419100377845,0.18150249371119648,0.17946758787405548,0.17770374484129922,0.17622575773926108,0.17505615789865026,0.17414983603714398,0.17345261532204423,0.17301313873080648,0.17288828660079855
1.1,-1.1745071454734972,0.001087722929541113,1.4530482607873378,0.5872535727367486,0.41395124559295626,0.31752454604841274,0.25391338562150906,0.20775999065989045,0.17267947986118823,0.14505729704625592,0.12279951643380774,0.1045157433055078,0.0894653515531767,0.07700465343971848,0.06659871580048085,0.05779787283103714,0.05025519854698997,0.04384389558693733,0.03824606411960794,0.03355530267184668,0.02952135473008609,0.02600669429721325,0.023044069922875957,0.0205876484531643,0.018622259253786962,0.016988958333133432,0.015567901914826137,0.014324817856709427,0.013272163382196315,0.012473451126102167,0.011894297731870354,0.011520137387823782,0.011290309995565505,0.011154431479554973,0.011076883544665085
1.2,-1.0464897892902882,0.0006905028561371965,1.1803900415518203,0.5232448946451441,0.326492859529639,0.22280877718492298,0.15935062410176723,0.11718646512442342,0.08772262689845539,0.06648148339850117,0.050942591174930205,0.03946942201389686,0.03079620086598445,0.024288484368343192,0.01945408364677923,0.01576827993639597,0.012785487309630651,0.010503554114946755,0.00868473573588495,0.007422532395181761,0.006527628374422565,0.005706935050682938,0.0049575026792006895,0.004287605880039242,0.0036671407210703048,0.003287303755202297,0.0029658960092143038,0.002773944704777561,0.0026734885682968934,0.0025938562917468457,0.0025277898458220304,0.0024661291214040193,0.002411910301581469,0.0023086571913329603,0.002316618205435956
1.3,-0.9399995533278384,0.00045055085427164726,0.9860333615226688,0.4699997766639192,0.26092799160415037,0.15863212187025105,0.10127312761307772,0.0665737167008573,0.044716313810769785,0.03042799317071382,0.02083058517048007,0.014296525249621423,0.009832929596259386,0.0069664308898359575,0.0050274538134908444,0.0037861273411227414,0.0029680035126072395,0.0023663434496015157,0.00200157538528471,0.0016601259930932532,0.0012208033237464065,0.0007187446808901293,0.0003250172988282181,-8.440994063999959e-07,-0.00024500459774925174,-0.000335884924668128,-0.0003246248394939064,-0.00019248329816755688,-9.378225651547511e-05,7.992878557292268e-05,0.00030505464964307504,0.00043101239681344575,0.0005486096808903702,0.0006401300827825994,0.0007283454468069537
1.4,-0.8517557870667962,0.00028336783772696074,0.78398542971172,0.4258778935333981,0.2117560126390009,0.115192412203931,0.06588351425801575,0.03881341156534388,0.023323386124665363,0.014232131506535446,0.008766503180103285,0.005468580206608716,0.0034995806698470736,0.0022406173500081348,0.001492409106600365,0.0010757230549659632,0.0007172971286989445,0.0004613732995659961,0.0002734932196605615,0.00028193636269776905,0.0002324521462768587,0.00022298430180990055,0.00015233674407083992,0.00011766674301537183,3.053176352280058e-05,4.786919885338558e-05,0.00011872268766768056,0.0001336749427023983,0.00011713712326098417,8.162583812690446e-05,0.00011200710133164844,8.719361659914021e-05,6.276038198975797e-05,-3.442795823014027e-06,-8.720749763505318e-05
