Temperature,AverageEnergyPerSite,EnergyErrorPerSite,SpecificHeatPerSite
0.5,-2.0,0.0,0.0
0.6,-1.99998875,0.0,0.00024997750003308283
0.7,-1.999911875,0.0,0.0014530672958745546
0.8,-1.999659375,0.0,0.004257928710948987
0.9,-1.998911875,0.0,0.010977435771667527
1.0,-1.996931875,0.0,0.02537004297499834
1.1,-1.993885,0.0,0.04231556495870444
1.2,-1.98817125,0.0,0.0699827521527949
1.3,-1.980195,0.0,0.1026075540828609
1.4,-1.968103125,0.0,0.143925111926013
1.5,-1.95138375,0.0,0.1962548689333264
1.6,-1.92716875,0.0,0.267316006835927
1.7,-1.898735625,0.0,0.33829279819204033
1.8,-1.86014375,0.0,0.440447431327163
1.9,-1.810959375,0.0,0.5546635995498648
2.0,-1.744506875,0.0,0.7246265842437509
2.1,-1.66602375,0.0,0.8851397559864022
2.2,-1.5730625,0.0,1.04206193181818
2.3,-1.458305625,0.0,1.157443017386581
2.4,-1.34095375,0.0,1.1807933303993077
2.5,-1.223731875,0.0,1.0976170526360034
2.6,-1.117696875,0.0,0.9615701212093185
2.7,-1.024030625,0.0,0.8025870178292166
2.8,-0.953465,0.0,0.6771744389795918
2.9,-0.891665625,0.0,0.5676928590219971
3.0,-0.838373125,0.0,0.4773594121972214
