Temperature,AverageEnergyPerSite,EnergyErrorPerSite,SpecificHeatPerSite,Correlation_r1,Correlation_r2,Correlation_r3,Correlation_r4
0.5,-1.7342244120161134,0.000116388966676547,0.5851682079421607,0.8671122060080567,0.8173719693988806,0.7961049930112429,0.7899456331818964
0.6,-1.6739049255550316,0.00017677688055363648,0.6214950689591585,0.8369524627775158,0.7771645525384134,0.7518290280913416,0.7444949052499724
0.7,-1.6089219545838973,0.0002163809606471599,0.6767100555265996,0.8044609772919487,0.7343259572224604,0.7050775738898054,0.6967340426378308
0.8,-1.5372367410456798,0.0003640812283666116,0.760521558544358,0.7686183705228399,0.6868436859586624,0.6529753936865191,0.6432889339486498
0.9,-1.4552099481834455,0.00034474232369127006,0.889701456719579,0.7276049740917228,0.6322738539224285,0.59337432846795,0.5823508434113318
1.0,-1.3567718901438224,0.0005111316655622238,1.0664103799863938,0.6783859450719112,0.5653357797490625,0.5194501080636208,0.5065277107884647
1.1,-1.2399135753394173,0.001127119210634275,1.2718892137874673,0.6199567876697086,0.4838097312017011,0.4281555206504059,0.4124314858703405
1.2,-1.1092572233694467,0.001144593974938095,1.313944907461294,0.5546286116847233,0.39167867141038704,0.3249562482953182,0.3060232989672741
1.3,-0.9855654096653077,0.0017537286691206775,1.1656771668553987,0.49278270483265385,0.30819276825503505,0.2335062308036408,0.21265973056078044
1.4,-0.8758315992658959,0.0012828354526694735,0.9511374826490506,0.43791579963294797,0.23753627395977203,0.15945548306608615,0.13824490788980134
1.5,-0.7934022174477905,0.0006150231874831997,0.7509634081034133,0.39670110872389525,0.19056500677436022,0.11352243830020117,0.09330572490102969
1.6,-0.7261657537854915,0.0008699709086089543,0.6136878514633403,0.36308287689274577,0.156346878953426,0.08276563170675487,0.06388548450921998
1.7,-0.6713443467173582,0.0009061707620037036,0.5108849570980137,0.3356721733586791,0.1317299666887716,0.06386704874992923,0.04714551599901785
1.8,-0.6248404662892995,0.0005444209050106298,0.4346602063491445,0.31242023314464973,0.1124586324083606,0.04924713147151956,0.03414158656228794
1.9,-0.5834514221541394,0.0006515493996657075,0.3711777182522578,0.2917257110770697,0.0962146047855465,0.03760206649054724,0.02384729759928222
2.0,-0.548907892471508,0.0006524630323344628,0.32709205950863307,0.274453946235754,0.08405466058582495,0.030358004015133968,0.018719487630905397
2.1,-0.517599841847175,0.0004207631131875828,0.2886388238413291,0.2587999209235875,0.07380671396965317,0.024208537999347902,0.013831528638641672
2.2,-0.489868518229688,0.0005318160014947001,0.257405386011852,0.244934259114844,0.06553709870921726,0.019829645613535944,0.010439209909689863
2.3,-0.46645291162652225,0.00038368155017912326,0.23065001695469964,0.23322645581326112,0.059233147761925654,0.016952741032175204,0.008837007280107822
2.4,-0.44363448922389453,0.00042290161567026655,0.2082829390514148,0.22181724461194727,0.05274906801169272,0.014380880838023233,0.007177127730402757
2.5,-0.42447158803282525,0.0005858984086891885,0.18992450175594883,0.21223579401641263,0.048518295514898516,0.01237394670891374,0.005643667430027267
2.6,-0.40674965886909165,0.00038237535593570963,0.17257024410673877,0.20337482943454582,0.04438939692173255,0.010763650776330224,0.004696323652068863
2.7,-0.3896147445043949,0.0005007825746696303,0.15786158981648335,0.19480737225219746,0.04043437286532686,0.009314187141123432,0.003924711428353056
2.8,-0.3739880132992532,0.00043312716861582194,0.14594218973509482,0.1869940066496266,0.037264431265273,0.00843605106660523,0.0036627068468358306
2.9,-0.3607631790713596,0.0003177216704276545,0.1352876342077278,0.1803815895356798,0.03435795531076503,0.007209710309333922,0.002918516344154258
3.0,-0.3480191141153567,0.0002913773035760958,0.12452924441953181,0.17400955705767834,0.03181218877637353,0.006422869191183916,0.0027003694737894194
