Temperature,AverageEnergyPerSite,EnergyErrorPerSite,SpecificHeatPerSite
0.5,-1.999999,7.287871396921565e-07,3.199974389644922e-05
0.6,-1.99998325,2.755667513295308e-06,0.00037217234426141965
0.7,-1.9999203749999999,5.490071928858133e-06,0.001308355573497948
0.8,-1.999660875,9.926684531903532e-06,0.004268968173448683
0.9,-1.99884725,2.863195792205142e-05,0.011586363846893134
1.0,-1.997140375,2.8584167753544508e-05,0.023493142870961492
1.1,-1.9939831250000002,6.643399921072442e-05,0.04165415022724998
1.2,-1.98870175,8.526965517126922e-05,0.0665981743083361
1.3,-1.9802956250000001,8.317010002484188e-05,0.10048976732245736
1.4,-1.9680263750000002,7.118675702773534e-05,0.14378545279537822
1.5,-1.951419375,0.0002542953652387074,0.19618469510002493
1.6,-1.92836025,0.00043932492592206975,0.2621155304984301
1.7,-1.897961625,0.000395786035395167,0.34233265804532514
1.8,-1.8599113749999998,0.0005063968691792532,0.4326761843577321
1.9,-1.80865,0.0006866626150734671,0.562840819944585
2.0,-1.7466966250000002,0.0006228257366789682,0.7079157784177355
2.1,-1.6661664999999999,0.0013293620062917839,0.8861468103800493
2.2,-1.5723675,0.0008584692500265153,1.045380470330585
2.3,-1.454828375,0.0007191959920463721,1.1671612580096433
2.4,-1.3361081249999998,0.00248367531817526,1.1886596374609464
2.5,-1.22330575,0.0015610722026656457,1.10000491025344
2.6,-1.1191025,0.0008725497613430582,0.9644742673964514
2.7,-1.0307475,0.001301805612065935,0.8110582770370384
2.8,-0.9546262499999999,0.0007876638966722179,0.6788275841709196
2.9,-0.8949962499999999,0.0012193621379691657,0.5706132698097507
3.0,-0.841334,0.0005088090260585225,0.4843086031573339
