Temperature,AverageEnergyPerSite,EnergyErrorPerSite,SpecificHeatPerSite
0.5,-1.999999453125,3.779141303097572e-07,1.7499923387731542e-05
0.6,-1.9999857812500001,1.3781869091222864e-06,0.0003159362801202153
0.7,-1.9999168359375001,2.9943845415304804e-06,0.001371226753585874
0.8,-1.9996404296874999,6.634952371975554e-06,0.004533701778486331
0.9,-1.9988505859375003,1.2600564995325852e-05,0.011565944417229954
1.0,-1.9971408203125,1.547245672492786e-05,0.02353008710693416
1.1,-1.9939606250000002,3.1239893579645916e-05,0.041632777499967605
1.2,-1.988683046875,4.025249324560301e-05,0.06654764799015488
1.3,-1.9802914843750001,4.792408874693622e-05,0.1010431655970142
1.4,-1.9680842578125004,0.0001003045847119416,0.14464098055593325
1.5,-1.9513242578125,9.401956398259018e-05,0.1966680764843179
1.6,-1.9285232421875,0.0001137860121920308,0.260741487959859
1.7,-1.8980773828125002,0.00020670061423828562,0.34231412906974373
1.8,-1.8593064453125,0.0001795578039988688,0.43969268783682497
1.9,-1.809543203125,0.0003564521077281319,0.562271425358277
2.0,-1.7462326562500001,0.00030171951058403993,0.7095627576870953
2.1,-1.66514359375,0.0008026568948107749,0.8907610641436312
2.2,-1.5694487109375,0.001099872750215936,1.055343609068941
2.3,-1.457743671875,0.0008868529438944413,1.1647522258860301
2.4,-1.337335234375,0.0011512601718577362,1.1834738845566826
2.5,-1.221112578125,0.000995251371543045,1.1016452426199361
2.6,-1.117719609375,0.00073523839290213,0.9598783636671953
2.7,-1.02942921875,0.0006930369070954828,0.8093338922305807
2.8,-0.9563707031249999,0.0005901458039473049,0.680313536998516
2.9,-0.8940352343750001,0.0006721466719915257,0.5682827265810325
3.0,-0.8418109765625001,0.00063011837244742,0.48472138855988334
