Temperature,AverageEnergyPerSite,EnergyErrorPerSite,SpecificHeatPerSite
0.5,-1.9999985416666666,6.497751328947265e-07,4.6666122329952486e-05
0.6,-1.9999903124999998,1.5999661535673688e-06,0.00021526109384871638
0.7,-1.9999145833333332,3.6454421528154957e-06,0.0014012579365684436
0.8,-1.9996146875,1.0915018509148852e-05,0.004880986760991134
0.9,-1.9988403645833328,1.6422181020927377e-05,0.011648120236621387
1.0,-1.9971512500000002,3.042927834266328e-05,0.0234164492332809
1.1,-1.9939924479166666,4.004203431229077e-05,0.041392552079770197
1.2,-1.9885890104166668,4.204823788245923e-05,0.06704460041942659
1.3,-1.9804876562500002,0.00011039937292172377,0.09951753762232007
1.4,-1.9680302604166668,5.205787963799872e-05,0.14442377367123355
1.5,-1.9512016145833335,0.0001441555019780877,0.1975223185924809
1.6,-1.928083697916667,0.00015818576371775107,0.26249841926749834
1.7,-1.8979365104166668,0.00021356429734487858,0.34223054683528054
1.8,-1.8585868229166664,0.0003602942827512486,0.44416805943025445
1.9,-1.8097060416666668,0.0002649810188806253,0.5600783664812086
2.0,-1.745932135416667,0.0004919736845448008,0.7112466458936879
2.1,-1.6663826041666667,0.0006496983739995249,0.8814256367269775
2.2,-1.56807359375,0.001207182275150169,1.0564438639890021
2.3,-1.45518515625,0.0010712581606223787,1.1744736006739327
2.4,-1.3367427083333334,0.0012831015938436074,1.187843092580534
2.5,-1.2222138020833333,0.0013516599872025728,1.0983336745826364
2.6,-1.1188072395833333,0.0012437020449557377,0.9622499319988621
2.7,-1.03125046875,0.0009326505672144359,0.8140343507068047
2.8,-0.9556624479166667,0.0008330954411655104,0.6780252856398576
2.9,-0.8946328124999998,0.0005112807843013476,0.5711103988617262
3.0,-0.8412495833333332,0.0005219423344854825,0.4854697074061739
