Temperature,AverageEnergyPerSite,EnergyErrorPerSite,SpecificHeatPerSite,Correlation_r1,Correlation_r2,Correlation_r3,Correlation_r4,Correlation_r5,Correlation_r6,Correlation_r7,Correlation_r8
0.5,-1.730477140835763,5.303228741903186e-05,0.596491572607647,0.8652385704178815,0.8109963141297707,0.7820523183938896,0.7640791398763144,0.7522934855365715,0.7447451008663872,0.7405059086853107,0.7391342652953073
0.6,-1.6693844443525048,7.470176041641854e-05,0.6319798716200846,0.8346922221762524,0.7697128147652096,0.7356225891611998,0.7146791309235009,0.7010611838606854,0.6924038479488713,0.6876097837786079,0.6860651878420334
0.7,-1.6032887203224253,0.00011579899960563182,0.6918496605770051,0.8016443601612127,0.7252905393178884,0.6857672215675963,0.661684976640737,0.6460699634590127,0.6361334224259424,0.6305879362516199,0.6288128295312687
0.8,-1.5294477275408211,0.00012464082742898638,0.7944504525298156,0.7647238637704106,0.6758878048705289,0.630750849305006,0.6036494441448335,0.5862476786462567,0.5752977342119807,0.5691561709213853,0.5671749433912999
0.9,-1.4433886140578893,0.00028079972708743565,0.9530540667960962,0.7216943070289447,0.6172664464926282,0.5648440435199401,0.533705820992703,0.5138877105156586,0.5013500460030662,0.49433047943147496,0.4920880033740896
1.0,-1.3360374573113272,0.0006471690059992388,1.2318651962847866,0.6680187286556636,0.541060943649998,0.4769157070723603,0.43875292533089694,0.4144490997248901,0.3991523283501733,0.3906315400554582,0.38788392586614545
1.1,-1.1984416315699395,0.000729983996528622,1.4868235835479495,0.5992208157849698,0.4392195420752756,0.3563003284013716,0.3064026147770721,0.2746542102253509,0.25474487363672477,0.2437392840137667,0.2401440603300348
1.2,-1.0565167333748806,0.0004996531266431175,1.3095772024414427,0.5282583666874403,0.33713248399312307,0.23927524525381208,0.18180398904110728,0.14623508738159663,0.12444458213406978,0.11262755886315447,0.10888614772325925
1.3,-0.9428345102275014,0.00043486973977720667,1.00338886926716,0.4714172551137507,0.26375259273957075,0.16286324481288922,0.1071191222187629,0.07448388161025482,0.0554483054811059,0.04540829756165994,0.042218061700021244
1.4,-0.8526084048333613,0.0004323226475697567,0.8058457374272854,0.42630420241668066,0.21291609602833944,0.11707792142433844,0.06850027083303414,0.04226116248737233,0.027964998792894057,0.02087797085009681,0.01880136442478974
1.5,-0.7782777543779472,0.0003407229027117742,0.6670477382605972,0.3891388771889736,0.1747796401505474,0.08574565925643407,0.04415970667095818,0.023529642483478,0.01316057800753189,0.008297558337962944,0.006862498902555971
1.6,-0.7169566234024303,0.00036427996248511815,0.5639267774635303,0.35847831170121514,0.14676631562100367,0.06534414093279704,0.030821128758544182,0.015267073269263888,0.007981168067641252,0.004834673168184641,0.003948894441869981
1.7,-0.6650487446595165,0.0003045694270618338,0.47934629470591444,0.33252437232975823,0.12505710254485386,0.0509285397895247,0.021917147923827623,0.00968626985321041,0.004471093129890917,0.0022846620182041004,0.0017289683192543972
1.8,-0.6207388952148338,0.00024914120204806814,0.41903987465526144,0.3103694476074169,0.10805592376888258,0.040840382088438834,0.016249033353839846,0.006782765729229466,0.0029386285762130118,0.0015117520401814765,0.0009948027389858358
1.9,-0.5818467218045761,0.00026483464479832734,0.36369370469000184,0.29092336090228804,0.09428197564624083,0.03295552898587248,0.011984246636467423,0.0046075292120747735,0.0017854767733420374,0.0007495285602995257,0.00035014565682295074
