Temperature,AverageEnergyPerSite,EnergyErrorPerSite,SpecificHeatPerSite,Correlation_r1,Correlation_r2
0.5,-1.7479875796139968,0.00014252635646468283,0.5505042029717799,0.8739937898069984,0.8454315886754796
0.6,-1.6919189752564292,0.0002735709174436196,0.5777055560763837,0.8459594876282146,0.8116916443433844
0.7,-1.6319591942289458,0.0002773504426208835,0.6211575242747127,0.8159795971144729,0.7756482189638104
0.8,-1.5658461409568507,0.00036802833017085675,0.6869795681653356,0.7829230704784254,0.7358825784741851
0.9,-1.4940620568853118,0.0005823069549737133,0.770487307551216,0.7470310284426559,0.6929880697349875
1.0,-1.4126668834520637,0.0007492931248903788,0.8665338144461572,0.7063334417260319,0.6435949999259576
1.1,-1.320412265562811,0.0008533513703646656,0.9596788008421238,0.6602061327814055,0.5878073323076929
1.2,-1.2204214312881554,0.0010073827311739567,1.0253663476339567,0.6102107156440777,0.5264881562106893
1.3,-1.1191601972602856,0.001238927904472478,1.0175016269666306,0.5595800986301428,0.4649475133133198
1.4,-1.018907205086188,0.0016529760197101122,0.971308551990173,0.509453602543094,0.404414424171807
1.5,-0.923253476604517,0.001396263973007279,0.8828686785039623,0.4616267383022585,0.3469716788316937
1.6,-0.8425034900063988,0.0010539088561334672,0.7848760412649757,0.4212517450031994,0.2998248575229187
1.7,-0.7695022766931852,0.001870227191099637,0.6745495598855675,0.3847511383465926,0.2589810384344847
1.8,-0.7075759126693606,0.0011319733504528131,0.579109107774716,0.3537879563346803,0.2248476240465332
1.9,-0.6533432420947992,0.00146997500539182,0.49955439438281407,0.3266716210473996,0.1952398294726564
2.0,-0.6091868750668227,0.0018068614735762328,0.4336668824584744,0.30459343753341134,0.17293227337599512
2.1,-0.5683125950285991,0.0015273754733482936,0.3734219364432822,0.28415629751429955,0.15303219937430362
2.2,-0.5320244234420408,0.0014242511166106665,0.3260934169241147,0.2660122117210204,0.13433116473618423
2.3,-0.5026197788302614,0.0012585753793948233,0.28856464320120756,0.2513098894151307,0.12083412682882116
2.4,-0.473581853372821,0.0009813317497140638,0.2553073798471747,0.2367909266864105,0.10789538760837605
2.5,-0.4481189121408851,0.001126697208249083,0.22646712509470818,0.22405945607044256,0.09660688651987213
2.6,-0.4291351074107679,0.0010184029936116648,0.20457983804415103,0.21456755370538394,0.09012473005588602
2.7,-0.408074212675603,0.0011138679707822926,0.1840870846276811,0.2040371063378015,0.0813410299004711
2.8,-0.3909107827426921,0.0009629373557397996,0.16830447005927815,0.19545539137134604,0.07551075346357147
2.9,-0.3756753898775665,0.0011051741777354416,0.1539126600624136,0.18783769493878325,0.06983982437040082
3.0,-0.36225103902212713,0.0007450980615618677,0.1421087574896547,0.18112551951106357,0.06521088302592323
