Temperature,AverageEnergyPerSite,EnergyErrorPerSite,SpecificHeatPerSite
0.5,-1.9998962499999997,0.00010232236387348472,0.013231911067009605
0.6,-1.99998625,1.523618358768202e-06,0.00030552194445476744
0.7,-1.999910125,5.219580114007207e-06,0.0014781966782191711
0.8,-1.999641375,6.530100093076011e-06,0.004530628394316948
0.9,-1.99885575,1.9071568705069268e-05,0.011524532037878156
1.0,-1.9971838333333334,2.5573180531899872e-05,0.02321876247287946
1.1,-1.9939266666666668,3.2779116051563025e-05,0.04190523621663626
1.2,-1.9885332916666665,4.083806235677895e-05,0.06751974611106783
1.3,-1.9801482083333333,7.403521057302107e-05,0.10150266717629519
1.4,-1.9680708750000002,0.00011135399745245832,0.1442611305328242
1.5,-1.951129291666667,0.00012467685694483245,0.19786445073532377
1.6,-1.9283100416666665,0.00016326229710548598,0.2615272234166354
1.7,-1.8979269166666668,0.000163038844079921,0.34388563396708294
1.8,-1.8594377500000001,0.0002186482314428759,0.4385139654308667
1.9,-1.8093328333333332,0.00034536108319814393,0.5628398946092994
2.0,-1.7449549999999998,0.00046722317615178886,0.7193839342666735
2.1,-1.6655882916666662,0.0004162644807835105,0.8929879736417259
2.2,-1.568738375,0.0007936644329800537,1.054057601518803
2.3,-1.455682875,0.0009369200980331829,1.1690644011904898
2.4,-1.3371508333333333,0.0007357761498295965,1.1831498606404312
2.5,-1.222739,0.0005235526421064173,1.1010368465476246
2.6,-1.1184694166666667,0.0009327277793515442,0.9603161481466806
2.7,-1.0293218750000002,0.0010791143062755526,0.8103209514460438
2.8,-0.9553364999999999,0.0005988759957915173,0.6764397950428576
2.9,-0.8944195833333334,0.0006221193635335185,0.5718161679891666
3.0,-0.8417044166666667,0.0005728198331488572,0.48367746640943055
