Temperature,AverageEnergyPerSite,EnergyErrorPerSite,SpecificHeatPerSite
0.5,-1.9999987499999998,5.591411304263389e-07,3.999960028977512e-05
0.6,-1.9999839583333332,2.4878603162887306e-06,0.00035643573315585146
0.7,-1.9999133333333334,6.8667745660755396e-06,0.0014139849432532566
0.8,-1.9996317708333333,1.133465815552332e-05,0.004642039686419962
0.9,-1.998840729166667,1.2461822486631128e-05,0.011621695266491634
1.0,-1.9971178125,2.1495969111060603e-05,0.023793768360434342
1.1,-1.9940504166666668,5.4176039267175135e-05,0.041084344894365354
1.2,-1.9887982291666668,9.496400251095231e-05,0.06595466513835567
1.3,-1.9803520833333332,4.887262121715824e-05,0.10065635092047218
1.4,-1.9678719791666666,0.00010277040301886511,0.14500671483811425
1.5,-1.9511577083333336,0.00016538541289096498,0.1977360243839333
1.6,-1.9282491666666666,0.00017414476038900962,0.2619588593576471
1.7,-1.8982729166666668,0.0003252365191194355,0.34085724327180716
1.8,-1.8595664583333333,0.00031048448653417333,0.43864112263289323
1.9,-1.8097064583333333,0.00033734030423415744,0.5590204668505595
2.0,-1.7464030208333332,0.0006769007463273691,0.7096403836873293
2.1,-1.66512625,0.0004885777618362255,0.8956511896976576
2.2,-1.5677621874999998,0.001185308029040214,1.0531828272370032
2.3,-1.4569958333333333,0.0013063831637386814,1.163415135265703
2.4,-1.3335694791666668,0.0023329574813438446,1.1858957200895779
2.5,-1.2205505208333334,0.0018482500550614054,1.0972450698638887
2.6,-1.1197407291666666,0.0007114459384855624,0.9598905593440833
2.7,-1.03135625,0.0013781428286860351,0.8132729918838597
2.8,-0.9546558333333333,0.0015770071178161618,0.6730359293140608
2.9,-0.8928630208333334,0.0003924042948591743,0.5678526138504918
3.0,-0.8412232291666668,0.000764875643734159,0.48279246897769923
