Temperature,AverageEnergyPerSite,EnergyErrorPerSite,SpecificHeatPerSite
0.5,-1.99999875,8.839122976081263e-07,3.9999599948714604e-05
0.6,-1.999985625,3.5903450383379266e-06,0.0003194077083416384
0.7,-1.99991375,8.275838951996908e-06,0.0014071916326679923
0.8,-1.999640625,1.3865512474951297e-05,0.0045476318358605985
0.9,-1.99885109375,1.2335839692329501e-05,0.01158783447340424
1.0,-1.9971150000000002,5.68200275342518e-05,0.024068563599939807
1.1,-1.99403578125,6.616414145907983e-05,0.04103431657928137
1.2,-1.9885998437499999,9.907527446713958e-05,0.06719128958228757
1.3,-1.9803031249999998,0.0001179680960206437,0.10053483394973259
1.4,-1.968521875,0.00014003231642482564,0.141159014987255
1.5,-1.951345625,0.00037226721245617545,0.19572827323333464
1.6,-1.9283424999999998,0.00032910182040166456,0.2606120009375101
1.7,-1.89784984375,0.0005413672874817787,0.3442595993074187
1.8,-1.8589550000000001,0.0006373654370901339,0.44094250320985867
1.9,-1.8084078125,0.000953498850810464,0.5675916221866341
2.0,-1.74763640625,0.0002266627474531996,0.7037442085433554
2.1,-1.6665225,0.001404658335345354,0.8852900107936605
2.2,-1.5685573437500002,0.0011893776649592727,1.0537473914356217
2.3,-1.45869171875,0.00043080407012464846,1.1671602424595315
2.4,-1.3355253125,0.0023715799182278245,1.1803176109364162
2.5,-1.22092984375,0.0016730796745044398,1.100597742399748
2.6,-1.1188457812500001,0.001399289681533428,0.9576624131451059
2.7,-1.0299665625,0.0007286916383516227,0.8128802576740363
2.8,-0.9571653125,0.0005207650684220998,0.6774929376267531
2.9,-0.8928373437499999,0.0009746999196052435,0.568114023989114
3.0,-0.8405521875,0.0005879945558101037,0.48226228174374897
